"corpus","preloaded/cup_open_clcu"
"subcorpus",""
"concordance size","1134"
"query","Query:<doc first_language==""Chinese"">[]"
"FCE,2001",". </s><s> Particularly, if he choose to visit some of the big shopping center facilities such as Labropoulos, Carefour. etc. </s><s>","Dear","Peter, Thanks for you letter which you sent me a week ago. </s><s> I''ve heard that you''re going to throw a party for Anna. </s><s> How"
"FCE,2001","? </s><s> I''m looking forward to seeing you at the party and please don''t hesistate to phone me if you need more help. </s><s> Best wishes, </s><s>","Dear","Sir/Madam, I saw your advertisement in the newspaper and I am very interested on taking the job. </s><s> My name is May Yong Lee"
"FCE,2001","means of transport and even if it''s more convenient by car for the Earth''s health we must travel by public transport. </s><s>","Dear","Peter, I am glad to receive your letter because I have not heard from you for ages. </s><s> Anyway, in regard to the location of"
"FCE,2001","famous star, to come and celerbate with her. </s><s> She must be very happy. </s><s> Please let me know if my ideas can work. </s><s> Best regards, </s><s>","Dear","Sir/Madam, I would like to apply for the post of USA Summer Camps Helper advertised in ABC magazine on 11th December. </s><s> As"
"FCE,2001","the children. </s><s> Don''t worry about the kitchen work. </s><s> I can wash the dishes and I''m a perfect cook. </s><s> Yours sincerely, </s><s>","Dear","Peter, your idea to have a surprise birthday party for Anna was fantastic! </s><s> I couldn''t have thought of it myself. </s><s> Having"
"FCE,2001",". </s><s> You know Anna likes plays, why don''t you hire some people to don one? </s><s> Well, I hope you find my ideas helpful! </s><s> Best wishes, </s><s>","It","was in the front page of the newspaper. </s><s> The famous murderer, Lew Kuan Yee had escaped from the Great Wall prison. </s><s> It was a"
"FCE,2001","work in the kitchens. </s><s> I would be happy to attend to an interview at any time that is convenient for you. </s><s> Yours faithfully, </s><s>","11-12-2001","Dear Peter, I am so pleased to receive your letter and be pleasure to give you my advices for Anna''s birthday party. </s><s> It"
"FCE,2001",". </s><s> It will be interesting to regnise people there. </s><s> Anyway, do not hesitate to ask if you need my help. </s><s> Yours faithfully, </s><s>","Michael","and Jenny have been living together near one year. </s><s> Michael found that Jenny went out quite often recently and with"
"CPE,2003","channels managed to be appointed as Prime Minister; and this is illuminating on many aspects of Italian society. </s><s>","Billions","of people across the globe, from different countries, different ethnicities and different backgrounds share one"
"CPE,2003","backward or developing countries. </s><s> True, it may be a strain on time and money, but its long term benefits are limitless. </s><s>","Humans","and Machines - who is in control? </s><s> The first thing that came to my mind when I saw the title was the ''Matrix Trilogy'', a three"
"CPE,2003","is where we would be in the first place, if not for our dependency on machines. </s><s> The machines are here to help, not to harm. </s><s>","Ever","since the days of the early civilizations, sports competitions have not been strange affairs for citizens of that time"
"CPE,2003","as well as in aspects of international understanding, career options, economy and the entertainment industry. </s><s>","Phuket",": A Family Holiday Destination. </s><s> Lying elusively in a corner of the Indian Ocean and at the South edge of Thailand is a"
"FCE,2004","which will be used to improve not only the public transports the housing facilities, but also the quality of life. </s><s>","Dear","Mrs Harris= I am writing a letter to reply the international student festival in Scotland. </s><s> I am very excited about the"
"FCE,2004",", what else can we do if we don''t want to go shopping. </s><s> What time is the festival start? </s><s> I look forward to hearing from you. </s><s>","Dear","friend= I am writing a letter to response from your letter. </s><s> I know it is difficult to do both music and sport because you"
"CPE,2004","must access this web adress www.bhbank.com.br. </s><s> For additional information contact our Call center at. 5555.5555. </s><s>","Proposal","(for the exhibition ""Great Achievers"" in College) I would like to suggest a famous Chinese politician as a candidate or"
"CPE,2004","multimedia materials would give our visitors an eye-open effect and let leave deep impression for our exhibition. </s><s>","In","the recent article ""Why so many people do not use the town library"" published at 15th June at page 15 in ""locals"", we have"
"CAE,2004","with what is happening elsewhere, which could be seen has a good thing. </s><s> However, is it always a positive move to copy? </s><s>","Dear","Mr Alcott, I am happy to say that the conference was well organized and successful, in my point of view, of course, and I"
"CAE,2004","<s> There were not many choices, and the qulity was poor. </s><s> I hope you do better on your conference next year. </s><s> Yours sincerely, </s><s>","Contribution","The most popular TV programme in China is a soap series - Wild Swan. </s><s> The soap is on at 7.30pm everynight after national"
"CPE,2004","I am going to be ready for my Master''s thesis. </s><s> I do not know if I could manage it without having a brief idea of what I may see. </s><s>","To","propose Mr Lee Kuan Yew as one of our Great Achievers I have chosen to propose Mr Lee Kuan Yew as one of the person in the"
"CPE,2004",", I believe that if the exhibition were to include him, it will be more interesting and recieve as much attention. </s><s>","Ways","to attract more people to visit the local town library. </s><s> I am writing this because I had recently read an article about the"
"CPE,2004","usually know theyr customers well. </s><s> In conclusion I would like to say this sentance isn''t very self-explainatory. </s><s>","Studying","history - a very important task The article in your last issue about studying history made me think about the necessity"
"CPE,2004","we can find solutions to our problems. </s><s> But you have to be careful not to forget the present and start to live in the past. </s><s>","In","the novel ""The Go-Between"" by L.P. Hartley the protagonist Leo meets two completely different characters: Lord"
"CPE,2006","find a lot of information about him on internet. </s><s> Write back and let me know what''s happen for your project! </s><s> Best wishes, </s><s>","Dear","Editor: I happened to the article called Food and Health in your magazine one day just after I had surgery in a hospital. </s>"
"CPE,2006",". </s><s> Even though you don''t have to accept the results completely, you can alway use them as a guidance. </s><s> Yours faithfully, </s><s>","As","living standard is increasing, people in China start to pay more attention to their health conditions. </s><s> One natural way"
"FCE,2006",". </s><s> But we have to focus on those sports which are turning into something that we do not want anymore, that is our challenge. </s><s>","Dear","Mr Dixon, Cinema Manager, It is good to know about the announce base on the extra money to spend on improvements to the"
"FCE,2006","are some changes and opinions from me. </s><s> I hope some great changes and improvements can be made next year. </s><s> Your sincerely, </s><s>","Eating","habits Food is important for us as well as eating habits. </s><s> Eating habits in my country have changed in the last ten years. </s>"
